Source File,Left Context,Match,Right Context,Merged Context,Edited Sentence,Selected
export (11).html,oazą uczciwości. I mnie,naszła[najść:praet:sg:f:perf]ochota[ochota:subst:sg:nom:f],", by zostać radnym.","oazą uczciwości. I mnie naszła ochota , by zostać radnym.","oazą uczciwości. I mnie naszła ochota , by zostać radnym.",True
export (12).html,Na koniec jałowej rozmowy młoda,kobieta[kobieta:subst:sg:nom:f]wyszła[wyjść:praet:sg:f:perf],przed dom za starzejącym się,Na koniec jałowej rozmowy młoda kobieta wyszła przed dom za starzejącym się,Na koniec jałowej rozmowy młoda kobieta wyszła przed dom za starzejącym się,True
export (12).html,Dlaczego taka piękna i bogata,kobieta[kobieta:subst:sg:nom:f]wyszła[wyjść:praet:sg:f:perf],za mąż za takiego brzydkiego,Dlaczego taka piękna i bogata kobieta wyszła za mąż za takiego brzydkiego,Dlaczego taka piękna i bogata kobieta wyszła za mąż za takiego brzydkiego,True
export (12).html,zielonych oczu Brendy. Kiedy,kobieta[kobieta:subst:sg:nom:f]wyszła[wyjść:praet:sg:f:perf],"do ogródka, Gloria podążyła","zielonych oczu Brendy. Kiedy kobieta wyszła do ogródka, Gloria podążyła","zielonych oczu Brendy. Kiedy kobieta wyszła do ogródka, Gloria podążyła",True
export (12).html,w Carla. W końcu,kobieta[kobieta:subst:sg:nom:f]wyszła[wyjść:praet:sg:f:perf],z domu z karabinem szturmowym,w Carla. W końcu kobieta wyszła z domu z karabinem szturmowym,w Carla. W końcu kobieta wyszła z domu z karabinem szturmowym,True
export (12).html,"Dziecko przestało płakać, a",kobieta[kobieta:subst:sg:nom:f]wyszła[wyjść:praet:sg:f:perf],zza kotary i patrzyła na,"Dziecko przestało płakać, a kobieta wyszła zza kotary i patrzyła na","Dziecko przestało płakać, a kobieta wyszła zza kotary i patrzyła na",True
export (12).html,serce”. Po chwili,kobieta[kobieta:subst:sg:nom:f]wyszła[wyjść:praet:sg:f:perf],. Inni uczestnicy terapii bali,serce”. Po chwili kobieta wyszła . Inni uczestnicy terapii bali,serce”. Po chwili kobieta wyszła . Inni uczestnicy terapii bali,True
export (12).html,Michałowskiej. Przed 2 tygodniami,kobieta[kobieta:subst:sg:nom:f]wyszła[wyjść:praet:sg:f:perf],na umówione spotkanie i od,Michałowskiej. Przed 2 tygodniami kobieta wyszła na umówione spotkanie i od,Michałowskiej. Przed 2 tygodniami kobieta wyszła na umówione spotkanie i od,True
export (12).html,"zbliżył się do domu,",kobieta[kobieta:subst:sg:nom:f]wyszła[wyjść:praet:sg:f:perf],na jego powitanie i nisko,"zbliżył się do domu, kobieta wyszła na jego powitanie i nisko","zbliżył się do domu, kobieta wyszła na jego powitanie i nisko",True
export (12).html,poprzek. Kierująca nim młoda,kobieta[kobieta:subst:sg:nom:f]wyszła[wyjść:praet:sg:f:perf],z samochodu o własnych siłach,poprzek. Kierująca nim młoda kobieta wyszła z samochodu o własnych siłach,poprzek. Kierująca nim młoda kobieta wyszła z samochodu o własnych siłach,True
export (12).html,"relacji zgłaszającego wynikało, że",kobieta[kobieta:subst:sg:nom:f]wyszła[wyjść:praet:sg:f:perf],z mieszkania trzy godziny wcześniej,"relacji zgłaszającego wynikało, że kobieta wyszła z mieszkania trzy godziny wcześniej","relacji zgłaszającego wynikało, że kobieta wyszła z mieszkania trzy godziny wcześniej",True
export (12).html,"informacji wynika, że 24-letnia",kobieta[kobieta:subst:sg:nom:f]wyszła[wyjść:praet:sg:f:perf],już z policyjnego aresztu.,"informacji wynika, że 24-letnia kobieta wyszła już z policyjnego aresztu.","informacji wynika, że 24-letnia kobieta wyszła już z policyjnego aresztu.",True
export (12).html,Bogusławy Falkowskiej. 6 listopada,kobieta[kobieta:subst:sg:nom:f]wyszła[wyjść:praet:sg:f:perf],"z pracy, ale do","Bogusławy Falkowskiej. 6 listopada kobieta wyszła z pracy, ale do","Bogusławy Falkowskiej. 6 listopada kobieta wyszła z pracy, ale do",True
export (12).html,Szcześniak z Rypina. Ciężarna,kobieta[kobieta:subst:sg:nom:f]wyszła[wyjść:praet:sg:f:perf],nagle z domu i nigdy,Szcześniak z Rypina. Ciężarna kobieta wyszła nagle z domu i nigdy,Szcześniak z Rypina. Ciężarna kobieta wyszła nagle z domu i nigdy,True
export (12).html,kwietnia zeszłego roku. Kiedy,kobieta[kobieta:subst:sg:nom:f]wyszła[wyjść:praet:sg:f:perf],"z salonu kosmetycznego, zamaskowani","kwietnia zeszłego roku. Kiedy kobieta wyszła z salonu kosmetycznego, zamaskowani","kwietnia zeszłego roku. Kiedy kobieta wyszła z salonu kosmetycznego, zamaskowani",True
export (12).html,"miasta. Zrealizowawszy operację,",kobieta[kobieta:subst:sg:nom:f]wyszła[wyjść:praet:sg:f:perf],na zewnątrz. Wtedy rzucił,"miasta. Zrealizowawszy operację, kobieta wyszła na zewnątrz. Wtedy rzucił","miasta. Zrealizowawszy operację, kobieta wyszła na zewnątrz. Wtedy rzucił",True
export (12).html,"dostała anonimowy sygnał, iż",kobieta[kobieta:subst:sg:nom:f]wyszła[wyjść:praet:sg:f:perf],z domu poprzedniego dnia wieczorem,"dostała anonimowy sygnał, iż kobieta wyszła z domu poprzedniego dnia wieczorem","dostała anonimowy sygnał, iż kobieta wyszła z domu poprzedniego dnia wieczorem",True
export (12).html,co do ceny. Wówczas,kobieta[kobieta:subst:sg:nom:f]wyszła[wyjść:praet:sg:f:perf],przed dom pod pozorem skorzystania,co do ceny. Wówczas kobieta wyszła przed dom pod pozorem skorzystania,co do ceny. Wówczas kobieta wyszła przed dom pod pozorem skorzystania,True
export (12).html,pierwszym piętrze bloku. Jednak,kobieta[kobieta:subst:sg:nom:f]wyszła[wyjść:praet:sg:f:perf],z mieszkania i zostawiła malca,pierwszym piętrze bloku. Jednak kobieta wyszła z mieszkania i zostawiła malca,pierwszym piętrze bloku. Jednak kobieta wyszła z mieszkania i zostawiła malca,True
export (12).html,matki pięciolatka. 28 letnia,kobieta[kobieta:subst:sg:nom:f]wyszła[wyjść:praet:sg:f:perf],na kilka godzin zostawiając dziecko,matki pięciolatka. 28 letnia kobieta wyszła na kilka godzin zostawiając dziecko,matki pięciolatka. 28 letnia kobieta wyszła na kilka godzin zostawiając dziecko,True
export (12).html,zapożyczył się u sąsiadów i,kobieta[kobieta:subst:sg:nom:f]wyszła[wyjść:praet:sg:f:perf],po jednym dniu. Sytuacja,zapożyczył się u sąsiadów i kobieta wyszła po jednym dniu. Sytuacja,zapożyczył się u sąsiadów i kobieta wyszła po jednym dniu. Sytuacja,True
export (12).html,się taka sytuacja. Pewna,kobieta[kobieta:subst:sg:nom:f]wyszła[wyjść:praet:sg:f:perf],"ponownie za mąż, gdy","się taka sytuacja. Pewna kobieta wyszła ponownie za mąż, gdy","się taka sytuacja. Pewna kobieta wyszła ponownie za mąż, gdy",True
export (12).html,"kierowcy ciężarówki sprawiła, że",kobieta[kobieta:subst:sg:nom:f]wyszła[wyjść:praet:sg:f:perf],cało z tego zdarzenia.,"kierowcy ciężarówki sprawiła, że kobieta wyszła cało z tego zdarzenia.","kierowcy ciężarówki sprawiła, że kobieta wyszła cało z tego zdarzenia.",True
export (12).html,rano została znaleziona. Dlaczego,kobieta[kobieta:subst:sg:nom:f]wyszła[wyjść:praet:sg:f:perf],przed budynek? Jeszcze nie,rano została znaleziona. Dlaczego kobieta wyszła przed budynek? Jeszcze nie,rano została znaleziona. Dlaczego kobieta wyszła przed budynek? Jeszcze nie,True
export (12).html,. W sobotni wieczór młoda,kobieta[kobieta:subst:sg:nom:f]wyszła[wyjść:praet:sg:f:perf],na spacer wraz ze swoją,. W sobotni wieczór młoda kobieta wyszła na spacer wraz ze swoją,. W sobotni wieczór młoda kobieta wyszła na spacer wraz ze swoją,True
export (12).html,"Problem w tym, że",kobieta[kobieta:subst:sg:nom:f]wyszła[wyjść:praet:sg:f:perf],za jego brata i oboje,"Problem w tym, że kobieta wyszła za jego brata i oboje","Problem w tym, że kobieta wyszła za jego brata i oboje",True
export (12).html,nieudanych próbach ponownego uruchomienia auta,kobieta[kobieta:subst:sg:nom:f]wyszła[wyjść:praet:sg:f:perf],na zewnątrz. Woda dostała,nieudanych próbach ponownego uruchomienia auta kobieta wyszła na zewnątrz. Woda dostała,nieudanych próbach ponownego uruchomienia auta kobieta wyszła na zewnątrz. Woda dostała,True
export (12).html,nie ujawni się. Kiedy,kobieta[kobieta:subst:sg:nom:f]wyszła[wyjść:praet:sg:f:perf],"z ukrycia, zawieziono ją","nie ujawni się. Kiedy kobieta wyszła z ukrycia, zawieziono ją","nie ujawni się. Kiedy kobieta wyszła z ukrycia, zawieziono ją",True
export (13).html,z łoskotem. Z chałupy,wyszła[wyjść:praet:sg:f:perf]kobieta[kobieta:subst:sg:nom:f],w czerni. Miała ręce,z łoskotem. Z chałupy wyszła kobieta w czerni. Miała ręce,z łoskotem. Z chałupy wyszła kobieta w czerni. Miała ręce,True
export (13).html,wpatruje. Wkrótce z obozu,wyszła[wyjść:praet:sg:f:perf]kobieta[kobieta:subst:sg:nom:f],niosąca płonącą gałąź. Rzuciła,wpatruje. Wkrótce z obozu wyszła kobieta niosąca płonącą gałąź. Rzuciła,wpatruje. Wkrótce z obozu wyszła kobieta niosąca płonącą gałąź. Rzuciła,True
export (13).html,zagłodził. Z sąsiedniego domu,wyszła[wyjść:praet:sg:f:perf]kobieta[kobieta:subst:sg:nom:f],z wiklinowym koszem zawieszonym w,zagłodził. Z sąsiedniego domu wyszła kobieta z wiklinowym koszem zawieszonym w,zagłodził. Z sąsiedniego domu wyszła kobieta z wiklinowym koszem zawieszonym w,True
export (13).html,jacyś ludzie. Przed dom,wyszła[wyjść:praet:sg:f:perf]kobieta[kobieta:subst:sg:nom:f],", miała na sobie grubą","jacyś ludzie. Przed dom wyszła kobieta , miała na sobie grubą","jacyś ludzie. Przed dom wyszła kobieta , miała na sobie grubą",True
export (13).html,"na podwórku, przed dom",wyszła[wyjść:praet:sg:f:perf]kobieta[kobieta:subst:sg:nom:f],". Widząc zakrwawionego, na","na podwórku, przed dom wyszła kobieta . Widząc zakrwawionego, na","na podwórku, przed dom wyszła kobieta . Widząc zakrwawionego, na",True
export (13).html,Właśnie zza tej ciężarówki nagle,wyszła[wyjść:praet:sg:f:perf]kobieta[kobieta:subst:sg:nom:f],", a ja nie miał","Właśnie zza tej ciężarówki nagle wyszła kobieta , a ja nie miał","Właśnie zza tej ciężarówki nagle wyszła kobieta , a ja nie miał",True
export (13).html,"rozstrzelanie, gdy przed ludzi",wyszła[wyjść:praet:sg:f:perf]kobieta[kobieta:subst:sg:nom:f],", co znała jako tako","rozstrzelanie, gdy przed ludzi wyszła kobieta , co znała jako tako","rozstrzelanie, gdy przed ludzi wyszła kobieta , co znała jako tako",True
export (13).html,W tym czasie z biura,wyszła[wyjść:praet:sg:f:perf]kobieta[kobieta:subst:sg:nom:f],", pojawił się też opiekun","W tym czasie z biura wyszła kobieta , pojawił się też opiekun","W tym czasie z biura wyszła kobieta , pojawił się też opiekun",True
export (14).html,do roku tak żeby doj,doszła[dojść:praet:sg:f:perf]kobieta[kobieta:subst:sg:nom:f],do takiego.. to,do roku tak żeby doj doszła kobieta do takiego.. to,do roku tak żeby doj doszła kobieta do takiego.. to,True
export (15).html,". Słuchając go, młoda",kobieta[kobieta:subst:sg:nom:f]doszła[dojść:praet:sg:f:perf],"do wniosku, że on",". Słuchając go, młoda kobieta doszła do wniosku, że on",". Słuchając go, młoda kobieta doszła do wniosku, że on",True
export (16).html,lokatorów kamienicy w Kamiennej Górze,kobieta[kobieta:subst:sg:nom:f]uszła[ujść:praet:sg:f:perf],z życiem. Sąsiad Edward,lokatorów kamienicy w Kamiennej Górze kobieta uszła z życiem. Sąsiad Edward,lokatorów kamienicy w Kamiennej Górze kobieta uszła z życiem. Sąsiad Edward,True
export (17).html,"Zszedł mężczyzna z teczką,",zeszła[zejść:praet:sg:f:perf]kobieta[kobieta:subst:sg:nom:f],z torbą. Wszyscy patrzyli,"Zszedł mężczyzna z teczką, zeszła kobieta z torbą. Wszyscy patrzyli","Zszedł mężczyzna z teczką, zeszła kobieta z torbą. Wszyscy patrzyli",True
export (18).html,""" robili wszystko, by",kobieta[kobieta:subst:sg:nom:f]zeszła[zejść:praet:sg:f:perf],z obrazu. Jedni uciekali,""" robili wszystko, by kobieta zeszła z obrazu. Jedni uciekali",""" robili wszystko, by kobieta zeszła z obrazu. Jedni uciekali",True
export (19).html,idzie. Ten sam zgarbiony,mężczyzna[mężczyzna:subst:sg:nom:m1]przeszedł[przejść:praet:sg:m1:perf],śpiesznie w drugą stronę.,idzie. Ten sam zgarbiony mężczyzna przeszedł śpiesznie w drugą stronę.,idzie. Ten sam zgarbiony mężczyzna przeszedł śpiesznie w drugą stronę.,True
export (19).html,swój hejnał. Kolejny brodaty,mężczyzna[mężczyzna:subst:sg:nom:m1]przeszedł[przejść:praet:sg:m1:perf],przez pole widzenia i wypadł,swój hejnał. Kolejny brodaty mężczyzna przeszedł przez pole widzenia i wypadł,swój hejnał. Kolejny brodaty mężczyzna przeszedł przez pole widzenia i wypadł,True
export (19).html,-Białej. – 54-letni,mężczyzna[mężczyzna:subst:sg:nom:m1]przeszedł[przejść:praet:sg:m1:perf],zawał serca i zmarł za,-Białej. – 54-letni mężczyzna przeszedł zawał serca i zmarł za,-Białej. – 54-letni mężczyzna przeszedł zawał serca i zmarł za,True
export (19).html,"zabrali torbę, a ranny",mężczyzna[mężczyzna:subst:sg:nom:m1]przeszedł[przejść:praet:sg:m1:perf],kilka kroków i usiadł na,"zabrali torbę, a ranny mężczyzna przeszedł kilka kroków i usiadł na","zabrali torbę, a ranny mężczyzna przeszedł kilka kroków i usiadł na",True
export (19).html,Kowalskiej na IV piętrze młody,mężczyzna[mężczyzna:subst:sg:nom:m1]przeszedł[przejść:praet:sg:m1:perf],przez barierkę balkonu i próbuje,Kowalskiej na IV piętrze młody mężczyzna przeszedł przez barierkę balkonu i próbuje,Kowalskiej na IV piętrze młody mężczyzna przeszedł przez barierkę balkonu i próbuje,True
export (2).html,"- polecił chłopakowi, kiedy",kobieta[kobieta:subst:sg:nom:f]weszła[wejść:praet:sg:f:perf],do gabinetu. Albana z,"- polecił chłopakowi, kiedy kobieta weszła do gabinetu. Albana z","- polecił chłopakowi, kiedy kobieta weszła do gabinetu. Albana z",True
export (2).html,drzwi się otworzyły i jakaś,kobieta[kobieta:subst:sg:nom:f]weszła[wejść:praet:sg:f:perf],na salę. Starając się,drzwi się otworzyły i jakaś kobieta weszła na salę. Starając się,drzwi się otworzyły i jakaś kobieta weszła na salę. Starając się,True
export (2).html,"protokołu policji. Zobacz,",kobieta[kobieta:subst:sg:nom:f]weszła[wejść:praet:sg:f:perf],mi pod koła. Nie,"protokołu policji. Zobacz, kobieta weszła mi pod koła. Nie","protokołu policji. Zobacz, kobieta weszła mi pod koła. Nie",True
export (2).html,"przyjrzeć się twarzy, ale",kobieta[kobieta:subst:sg:nom:f]weszła[wejść:praet:sg:f:perf],"już do przedpokoju, skąd","przyjrzeć się twarzy, ale kobieta weszła już do przedpokoju, skąd","przyjrzeć się twarzy, ale kobieta weszła już do przedpokoju, skąd",True
export (2).html,"niedojrzałości związku, w którym",kobieta[kobieta:subst:sg:nom:f]weszła[wejść:praet:sg:f:perf],w rolę mamy. Wzięła,"niedojrzałości związku, w którym kobieta weszła w rolę mamy. Wzięła","niedojrzałości związku, w którym kobieta weszła w rolę mamy. Wzięła",True
export (2).html,w Ostrowie Wlkp. 58-letnia,kobieta[kobieta:subst:sg:nom:f]weszła[wejść:praet:sg:f:perf],25 czerwca do środka ze,w Ostrowie Wlkp. 58-letnia kobieta weszła 25 czerwca do środka ze,w Ostrowie Wlkp. 58-letnia kobieta weszła 25 czerwca do środka ze,True
export (2).html,Wczoraj około godz. 4,kobieta[kobieta:subst:sg:nom:f]weszła[wejść:praet:sg:f:perf],na dach 3-piętrowego budynku i,Wczoraj około godz. 4 kobieta weszła na dach 3-piętrowego budynku i,Wczoraj około godz. 4 kobieta weszła na dach 3-piętrowego budynku i,True
export (2).html,kupił. W tym czasie,kobieta[kobieta:subst:sg:nom:f]weszła[wejść:praet:sg:f:perf],na zaplecze i ukradła z,kupił. W tym czasie kobieta weszła na zaplecze i ukradła z,kupił. W tym czasie kobieta weszła na zaplecze i ukradła z,True
export (2).html,”. Po zakończeniu przesłuchania,kobieta[kobieta:subst:sg:nom:f]weszła[wejść:praet:sg:f:perf],"do pomieszczenia, wydrukowała z","”. Po zakończeniu przesłuchania kobieta weszła do pomieszczenia, wydrukowała z","”. Po zakończeniu przesłuchania kobieta weszła do pomieszczenia, wydrukowała z",True
export (2).html,"ze świadków mówi, że",kobieta[kobieta:subst:sg:nom:f]weszła[wejść:praet:sg:f:perf],na szyny przy torze nr,"ze świadków mówi, że kobieta weszła na szyny przy torze nr","ze świadków mówi, że kobieta weszła na szyny przy torze nr",True
export (2).html,"szklankę wody, towarzysząca mu",kobieta[kobieta:subst:sg:nom:f]weszła[wejść:praet:sg:f:perf],przez okno do domu i,"szklankę wody, towarzysząca mu kobieta weszła przez okno do domu i","szklankę wody, towarzysząca mu kobieta weszła przez okno do domu i",True
export (2).html,"ustalenia, w jaki sposób",kobieta[kobieta:subst:sg:nom:f]weszła[wejść:praet:sg:f:perf],w posiadanie tak drogocennych zabytków,"ustalenia, w jaki sposób kobieta weszła w posiadanie tak drogocennych zabytków","ustalenia, w jaki sposób kobieta weszła w posiadanie tak drogocennych zabytków",True
export (2).html,Sadki). Nieustalona dotychczas,kobieta[kobieta:subst:sg:nom:f]weszła[wejść:praet:sg:f:perf],do mieszkania pod pozorem sprzedaży,Sadki). Nieustalona dotychczas kobieta weszła do mieszkania pod pozorem sprzedaży,Sadki). Nieustalona dotychczas kobieta weszła do mieszkania pod pozorem sprzedaży,True
export (2).html,", stojąca na przeciwległym chodniku",kobieta[kobieta:subst:sg:nom:f]weszła[wejść:praet:sg:f:perf],na pasy. Damian uczynił,", stojąca na przeciwległym chodniku kobieta weszła na pasy. Damian uczynił",", stojąca na przeciwległym chodniku kobieta weszła na pasy. Damian uczynił",True
export (2).html,"Zrozumiałem, że bolejąca",kobieta[kobieta:subst:sg:nom:f]weszła[wejść:praet:sg:f:perf],w jedną z pułapek spirytyzmu,"Zrozumiałem, że bolejąca kobieta weszła w jedną z pułapek spirytyzmu","Zrozumiałem, że bolejąca kobieta weszła w jedną z pułapek spirytyzmu",True
export (2).html,początku lutego mieszkająca w Goleniowie,kobieta[kobieta:subst:sg:nom:f]weszła[wejść:praet:sg:f:perf],z reklamówką pełną wcześniej dokonanych,początku lutego mieszkająca w Goleniowie kobieta weszła z reklamówką pełną wcześniej dokonanych,początku lutego mieszkająca w Goleniowie kobieta weszła z reklamówką pełną wcześniej dokonanych,True
export (20).html,"wąską uliczką, za nimi",przeszedł[przejść:praet:sg:m1:perf]mężczyzna[mężczyzna:subst:sg:nom:m1],z plastykową protezą zamiast nogi,"wąską uliczką, za nimi przeszedł mężczyzna z plastykową protezą zamiast nogi","wąską uliczką, za nimi przeszedł mężczyzna z plastykową protezą zamiast nogi",True
export (20).html,"metrów, gdy przed Michałem",przeszedł[przejść:praet:sg:m1:perf]mężczyzna[mężczyzna:subst:sg:nom:m1],", syknięciem zwracając na siebie","metrów, gdy przed Michałem przeszedł mężczyzna , syknięciem zwracając na siebie","metrów, gdy przed Michałem przeszedł mężczyzna , syknięciem zwracając na siebie",True
export (21).html,trafić stosunkowo łatwo. Kiedy,mężczyzna[mężczyzna:subst:sg:nom:m1]wyszedł[wyjść:praet:sg:m1:perf],", dokładnie poinstruowany jak tam","trafić stosunkowo łatwo. Kiedy mężczyzna wyszedł , dokładnie poinstruowany jak tam","trafić stosunkowo łatwo. Kiedy mężczyzna wyszedł , dokładnie poinstruowany jak tam",True
export (21).html,do domu mój mniejszy brat,mężczyzna[mężczyzna:subst:sg:nom:m1]wyszedł[wyjść:praet:sg:m1:perf],eś z potłuczonym kolanem do,do domu mój mniejszy brat mężczyzna wyszedł eś z potłuczonym kolanem do,do domu mój mniejszy brat mężczyzna wyszedł eś z potłuczonym kolanem do,True
export (21).html,Przeciskając się przez tłum pięćdziesięciosiedmioletni,mężczyzna[mężczyzna:subst:sg:nom:m1]wyszedł[wyjść:praet:sg:m1:perf],na mroźny poranek. Przed,Przeciskając się przez tłum pięćdziesięciosiedmioletni mężczyzna wyszedł na mroźny poranek. Przed,Przeciskając się przez tłum pięćdziesięciosiedmioletni mężczyzna wyszedł na mroźny poranek. Przed,True
