,Left_Context,Match,Right_Context,Merged_Context,Edited_Sentence,Edited_Parsing,Edited_Length,Edited_Targets,Edited_Targets_POS,Edited_branching,Edited_Targets_Branching,Edited_Entropy,Edited_Entropy_Cluster,Edited_Entropy_Markov,Edited_JS_Distance_Cluster,Translated_Sentence,Translated_Parsing,Translated_Length,Translated_branching,Translated_Targets_Branching,Translated_Target_Noun_Branching,Translated_Entropy,Translated_Entropy_Cluster,Translated_Entropy_Markov,Translated_JS_Distance_Cluster
73,w Ostrowie Wlkp. 58-letnia,kobieta[kobieta:subst:sg:nom:f]weszła[wejść:praet:sg:f:perf],25 czerwca do środka ze,w Ostrowie Wlkp. 58-letnia kobieta weszła 25 czerwca do środka ze,58-letnia kobieta weszła 25 czerwca do środka ze strony podwórza.,"[('58', 'kobieta', 'amod'), ('-', 'kobieta', 'amod'), ('letnia', 'kobieta', 'amod'), ('kobieta', 'weszła', 'nsubj'), ('weszła', 'weszła', 'ROOT'), ('25', 'weszła', 'obl'), ('czerwca', '25', 'nmod:flat'), ('do', 'środka', 'case'), ('środka', 'weszła', 'obl'), ('ze', 'podwórza', 'case'), ('strony', 'ze', 'fixed'), ('podwórza', 'środka', 'nmod'), ('.', 'weszła', 'punct')]",10,"('kobieta', 'weszła')","('[kobieta:subst:sg:nom:f]', '[wejść:praet:sg:f:perf]')","{'58': 0, '-': 0, 'letnia': 0, 'kobieta': 3, 'weszła': 4, '25': 1, 'czerwca': 0, 'do': 0, 'środka': 2, 'ze': 1, 'strony': 0, 'podwórza': 1, '.': 0}","({kobieta: 3, weszła: 4})",0.7820750041012365,2,-23.581110304343028,8.0,A 58-year-old woman entered the house from the courtyard on June 25.,"[('A', 'woman', 'det'), ('58', 'year', 'nummod'), ('-', 'year', 'punct'), ('year', 'old', 'npadvmod'), ('-', 'old', 'punct'), ('old', 'woman', 'amod'), ('woman', 'entered', 'nsubj'), ('entered', 'entered', 'ROOT'), ('the', 'house', 'det'), ('house', 'entered', 'dobj'), ('from', 'entered', 'prep'), ('the', 'courtyard', 'det'), ('courtyard', 'from', 'pobj'), ('on', 'entered', 'prep'), ('June', 'on', 'pobj'), ('25', 'June', 'nummod'), ('.', 'entered', 'punct')]",12,"{'A': 0, '58': 0, '-': 0, 'year': 2, 'old': 2, 'woman': 2, 'entered': 5, 'the': 0, 'house': 1, 'from': 1, 'courtyard': 1, 'on': 1, 'June': 1, '25': 0, '.': 0}","{'entered': 5, 'woman': 2}",{'woman': 2},0.3836684569910115,0,4.081281720967431e-05,3
74,Wczoraj około godz. 4,kobieta[kobieta:subst:sg:nom:f]weszła[wejść:praet:sg:f:perf],na dach 3-piętrowego budynku i,Wczoraj około godz. 4 kobieta weszła na dach 3-piętrowego budynku i,Wczoraj około godz. 4 kobieta weszła na dach 3-piętrowego budynku i skoczyła.,"[('Wczoraj', 'weszła', 'advmod'), ('około', 'godz', 'case'), ('godz', 'weszła', 'obl'), ('.', 'godz', 'punct'), ('4', 'godz', 'amod'), ('kobieta', 'weszła', 'nsubj'), ('weszła', 'weszła', 'ROOT'), ('na', 'dach', 'case'), ('dach', 'weszła', 'obl'), ('3', 'dach', 'nmod'), ('-', 'budynku', 'amod'), ('piętrowego', 'budynku', 'amod'), ('budynku', 'dach', 'nmod'), ('i', 'skoczyła', 'cc'), ('skoczyła', 'weszła', 'conj'), ('.', 'weszła', 'punct')]",12,"('kobieta', 'weszła')","('[kobieta:subst:sg:nom:f]', '[wejść:praet:sg:f:perf]')","{'Wczoraj': 0, 'około': 0, 'godz': 3, '.': 0, '4': 0, 'kobieta': 0, 'weszła': 6, 'na': 0, 'dach': 3, '3': 0, '-': 0, 'piętrowego': 0, 'budynku': 2, 'i': 0, 'skoczyła': 1}","({kobieta: 0, weszła: 6})",1.417962268112062,0,-58.57277302227421,9.0,Yesterday at about 4 a.m. a woman climbed to the roof of a 3-story building and jumped.,"[('Yesterday', 'climbed', 'npadvmod'), ('at', 'climbed', 'prep'), ('about', '4', 'advmod'), ('4', 'a.m.', 'nummod'), ('a.m.', 'at', 'pobj'), ('a', 'woman', 'det'), ('woman', 'climbed', 'nsubj'), ('climbed', 'climbed', 'ROOT'), ('to', 'climbed', 'prep'), ('the', 'roof', 'det'), ('roof', 'to', 'pobj'), ('of', 'roof', 'prep'), ('a', 'building', 'det'), ('3', 'story', 'nummod'), ('-', 'story', 'punct'), ('story', 'building', 'compound'), ('building', 'of', 'pobj'), ('and', 'climbed', 'cc'), ('jumped', 'climbed', 'conj'), ('.', 'climbed', 'punct')]",17,"{'Yesterday': 0, 'at': 1, 'about': 0, '4': 1, 'a.m.': 1, 'a': 0, 'woman': 1, 'climbed': 7, 'to': 1, 'the': 0, 'roof': 2, 'of': 1, '3': 0, '-': 0, 'story': 2, 'building': 2, 'and': 0, 'jumped': 0, '.': 0}","{'climbed': 7, 'woman': 1}",{'woman': 1},1.2603455107597847,1,-1.784197894045629,3
75,kupił. W tym czasie,kobieta[kobieta:subst:sg:nom:f]weszła[wejść:praet:sg:f:perf],na zaplecze i ukradła z,kupił. W tym czasie kobieta weszła na zaplecze i ukradła z,W tym czasie kobieta weszła na zaplecze i ukradła zawartość paczki.,"[('W', 'czasie', 'case'), ('tym', 'czasie', 'det'), ('czasie', 'weszła', 'obl'), ('kobieta', 'weszła', 'nsubj'), ('weszła', 'weszła', 'ROOT'), ('na', 'zaplecze', 'case'), ('zaplecze', 'weszła', 'obl:arg'), ('i', 'ukradła', 'cc'), ('ukradła', 'weszła', 'conj'), ('zawartość', 'ukradła', 'nsubj'), ('paczki', 'zawartość', 'nmod:arg'), ('.', 'weszła', 'punct')]",11,"('kobieta', 'weszła')","('[kobieta:subst:sg:nom:f]', '[wejść:praet:sg:f:perf]')","{'W': 0, 'tym': 0, 'czasie': 2, 'kobieta': 0, 'weszła': 5, 'na': 0, 'zaplecze': 1, 'i': 0, 'ukradła': 2, 'zawartość': 1, 'paczki': 0, '.': 0}","({kobieta: 0, weszła: 5})",1.506860978301908,0,-49.90989615512663,7.0,"At that time, the woman went into the back room and stole the contents of the package.","[('At', 'went', 'prep'), ('that', 'time', 'det'), ('time', 'At', 'pobj'), (',', 'went', 'punct'), ('the', 'woman', 'det'), ('woman', 'went', 'nsubj'), ('went', 'went', 'ROOT'), ('into', 'went', 'prep'), ('the', 'room', 'det'), ('back', 'room', 'amod'), ('room', 'into', 'pobj'), ('and', 'went', 'cc'), ('stole', 'went', 'conj'), ('the', 'contents', 'det'), ('contents', 'stole', 'dobj'), ('of', 'contents', 'prep'), ('the', 'package', 'det'), ('package', 'of', 'pobj'), ('.', 'went', 'punct')]",17,"{'At': 1, 'that': 0, 'time': 1, ',': 0, 'the': 0, 'woman': 1, 'went': 7, 'into': 1, 'back': 0, 'room': 2, 'and': 0, 'stole': 1, 'contents': 2, 'of': 1, 'package': 1, '.': 0}","{'went': 7, 'woman': 1}",{'woman': 1},1.9481849627778092,4,0.0150303285137666,3
76,”. Po zakończeniu przesłuchania,kobieta[kobieta:subst:sg:nom:f]weszła[wejść:praet:sg:f:perf],"do pomieszczenia, wydrukowała z","”. Po zakończeniu przesłuchania kobieta weszła do pomieszczenia, wydrukowała z","Po zakończeniu przesłuchania kobieta weszła do pomieszczenia, wydrukowała zapis rozmowy i przekazała go śledczemu.  ","[('Po', 'zakończeniu', 'case'), ('zakończeniu', 'weszła', 'obl'), ('przesłuchania', 'zakończeniu', 'obj'), ('kobieta', 'weszła', 'nsubj'), ('weszła', 'weszła', 'ROOT'), ('do', 'pomieszczenia', 'case'), ('pomieszczenia', 'weszła', 'obl'), (',', 'wydrukowała', 'punct'), ('wydrukowała', 'weszła', 'conj'), ('zapis', 'wydrukowała', 'obj'), ('rozmowy', 'zapis', 'nmod:arg'), ('i', 'przekazała', 'cc'), ('przekazała', 'weszła', 'conj'), ('go', 'przekazała', 'obj'), ('śledczemu', 'przekazała', 'iobj'), ('.', 'weszła', 'punct'), (' ', '.', 'dep')]",14,"('kobieta', 'weszła')","('[kobieta:subst:sg:nom:f]', '[wejść:praet:sg:f:perf]')","{'Po': 0, 'zakończeniu': 2, 'przesłuchania': 0, 'kobieta': 0, 'weszła': 6, 'do': 0, 'pomieszczenia': 1, ',': 0, 'wydrukowała': 2, 'zapis': 1, 'rozmowy': 0, 'i': 0, 'przekazała': 3, 'go': 0, 'śledczemu': 0, '.': 1, ' ': 0}","({kobieta: 0, weszła: 6})",1.2522919528586591,4,-51.56729508498584,10.0,"After the interrogation was over, the woman entered the room, printed out the transcript of the conversation and gave it to the investigator.  ","[('After', 'was', 'mark'), ('the', 'interrogation', 'det'), ('interrogation', 'was', 'nsubj'), ('was', 'entered', 'advcl'), ('over', 'was', 'advmod'), (',', 'entered', 'punct'), ('the', 'woman', 'det'), ('woman', 'entered', 'nsubj'), ('entered', 'entered', 'ROOT'), ('the', 'room', 'det'), ('room', 'entered', 'dobj'), (',', 'entered', 'punct'), ('printed', 'entered', 'advcl'), ('out', 'printed', 'prt'), ('the', 'transcript', 'det'), ('transcript', 'printed', 'dobj'), ('of', 'transcript', 'prep'), ('the', 'conversation', 'det'), ('conversation', 'of', 'pobj'), ('and', 'printed', 'cc'), ('gave', 'printed', 'conj'), ('it', 'gave', 'dobj'), ('to', 'gave', 'dative'), ('the', 'investigator', 'det'), ('investigator', 'to', 'pobj'), ('.', 'entered', 'punct'), (' ', '.', 'dep')]",23,"{'After': 0, 'the': 0, 'interrogation': 1, 'was': 3, 'over': 0, ',': 0, 'woman': 1, 'entered': 7, 'room': 1, 'printed': 4, 'out': 0, 'transcript': 2, 'of': 1, 'conversation': 1, 'and': 0, 'gave': 2, 'it': 0, 'to': 1, 'investigator': 1, '.': 1, ' ': 0}","{'entered': 7, 'was': 3, 'woman': 1}",{'woman': 1},0.1272942539841763,2,1.2133822327967323,3
77,"ze świadków mówi, że",kobieta[kobieta:subst:sg:nom:f]weszła[wejść:praet:sg:f:perf],na szyny przy torze nr,"ze świadków mówi, że kobieta weszła na szyny przy torze nr","Jeden ze świadków mówi, że kobieta weszła na szyny przy torze nr 3.","[('Jeden', 'mówi', 'nsubj'), ('ze', 'świadków', 'case'), ('świadków', 'Jeden', 'obl'), ('mówi', 'mówi', 'ROOT'), (',', 'weszła', 'punct'), ('że', 'weszła', 'mark'), ('kobieta', 'weszła', 'nsubj'), ('weszła', 'mówi', 'ccomp:obj'), ('na', 'szyny', 'case'), ('szyny', 'weszła', 'obl'), ('przy', 'torze', 'case'), ('torze', 'weszła', 'obl'), ('nr', 'torze', 'nmod'), ('3', 'nr', 'amod'), ('.', 'mówi', 'punct')]",13,"('kobieta', 'weszła')","('[kobieta:subst:sg:nom:f]', '[wejść:praet:sg:f:perf]')","{'Jeden': 1, 'ze': 0, 'świadków': 1, 'mówi': 3, ',': 0, 'że': 0, 'kobieta': 0, 'weszła': 5, 'na': 0, 'szyny': 1, 'przy': 0, 'torze': 2, 'nr': 1, '3': 0, '.': 0}","({kobieta: 0, weszła: 5})",1.5198728054290922,0,-10.55919471617741,10.0,One witness says that the woman stepped onto the tracks near track number 3.,"[('One', 'witness', 'nummod'), ('witness', 'says', 'nsubj'), ('says', 'says', 'ROOT'), ('that', 'stepped', 'mark'), ('the', 'woman', 'det'), ('woman', 'stepped', 'nsubj'), ('stepped', 'says', 'ccomp'), ('onto', 'stepped', 'prep'), ('the', 'tracks', 'det'), ('tracks', 'onto', 'pobj'), ('near', 'stepped', 'prep'), ('track', 'number', 'compound'), ('number', 'near', 'pobj'), ('3', 'number', 'nummod'), ('.', 'says', 'punct')]",14,"{'One': 0, 'witness': 1, 'says': 3, 'that': 0, 'the': 0, 'woman': 1, 'stepped': 4, 'onto': 1, 'tracks': 1, 'near': 1, 'track': 0, 'number': 2, '3': 0, '.': 0}","{'says': 3, 'stepped': 4, 'woman': 1}",{'woman': 1},1.4598865670258014,1,2.5407741657497077e-05,3
78,"szklankę wody, towarzysząca mu",kobieta[kobieta:subst:sg:nom:f]weszła[wejść:praet:sg:f:perf],przez okno do domu i,"szklankę wody, towarzysząca mu kobieta weszła przez okno do domu i",Towarzysząca mu kobieta weszła przez okno do domu.,"[('Towarzysząca', 'kobieta', 'acl'), ('mu', 'Towarzysząca', 'iobj'), ('kobieta', 'weszła', 'nsubj'), ('weszła', 'weszła', 'ROOT'), ('przez', 'okno', 'case'), ('okno', 'weszła', 'obl'), ('do', 'domu', 'case'), ('domu', 'weszła', 'obl'), ('.', 'weszła', 'punct')]",8,"('kobieta', 'weszła')","('[kobieta:subst:sg:nom:f]', '[wejść:praet:sg:f:perf]')","{'Towarzysząca': 1, 'mu': 0, 'kobieta': 1, 'weszła': 4, 'przez': 0, 'okno': 1, 'do': 0, 'domu': 1, '.': 0}","({kobieta: 1, weszła: 4})",1.13266550175191,4,-58.651083154315536,7.0,The woman accompanying him entered the house through a window.,"[('The', 'woman', 'det'), ('woman', 'entered', 'nsubj'), ('accompanying', 'woman', 'acl'), ('him', 'accompanying', 'dobj'), ('entered', 'entered', 'ROOT'), ('the', 'house', 'det'), ('house', 'entered', 'dobj'), ('through', 'entered', 'prep'), ('a', 'window', 'det'), ('window', 'through', 'pobj'), ('.', 'entered', 'punct')]",10,"{'The': 0, 'woman': 2, 'accompanying': 1, 'him': 0, 'entered': 4, 'the': 0, 'house': 1, 'through': 1, 'a': 0, 'window': 1, '.': 0}","{'entered': 4, 'woman': 2}",{'woman': 2},0.0700596513319522,2,4.081281720967431e-05,3
79,Sadki). Nieustalona dotychczas,kobieta[kobieta:subst:sg:nom:f]weszła[wejść:praet:sg:f:perf],do mieszkania pod pozorem sprzedaży,Sadki). Nieustalona dotychczas kobieta weszła do mieszkania pod pozorem sprzedaży,Nieustalona dotychczas kobieta weszła do mieszkania pod pozorem sprzedaży.  ,"[('Nieustalona', 'kobieta', 'acl'), ('dotychczas', 'Nieustalona', 'advmod'), ('kobieta', 'weszła', 'nsubj'), ('weszła', 'weszła', 'ROOT'), ('do', 'mieszkania', 'case'), ('mieszkania', 'weszła', 'obl'), ('pod', 'pozorem', 'case'), ('pozorem', 'weszła', 'obl'), ('sprzedaży', 'pozorem', 'nmod:arg'), ('.', 'weszła', 'punct'), (' ', '.', 'dep')]",9,"('kobieta', 'weszła')","('[kobieta:subst:sg:nom:f]', '[wejść:praet:sg:f:perf]')","{'Nieustalona': 1, 'dotychczas': 0, 'kobieta': 1, 'weszła': 4, 'do': 0, 'mieszkania': 1, 'pod': 0, 'pozorem': 2, 'sprzedaży': 0, '.': 1, ' ': 0}","({kobieta: 1, weszła: 4})",0.7090311915827547,2,11.10472202770481,3.0,An as yet unidentified woman entered the apartment under the pretext of selling it.  ,"[('An', 'woman', 'det'), ('as', 'yet', 'advmod'), ('yet', 'unidentified', 'advmod'), ('unidentified', 'woman', 'amod'), ('woman', 'entered', 'nsubj'), ('entered', 'entered', 'ROOT'), ('the', 'apartment', 'det'), ('apartment', 'entered', 'dobj'), ('under', 'entered', 'prep'), ('the', 'pretext', 'det'), ('pretext', 'under', 'pobj'), ('of', 'pretext', 'prep'), ('selling', 'of', 'pcomp'), ('it', 'selling', 'dobj'), ('.', 'entered', 'punct'), (' ', '.', 'dep')]",14,"{'An': 0, 'as': 0, 'yet': 1, 'unidentified': 1, 'woman': 2, 'entered': 4, 'the': 0, 'apartment': 1, 'under': 1, 'pretext': 2, 'of': 1, 'selling': 1, 'it': 0, '.': 1, ' ': 0}","{'entered': 4, 'woman': 2}",{'woman': 2},0.970082353294616,3,7.893992906758771e-07,3
80,", stojąca na przeciwległym chodniku",kobieta[kobieta:subst:sg:nom:f]weszła[wejść:praet:sg:f:perf],na pasy. Damian uczynił,", stojąca na przeciwległym chodniku kobieta weszła na pasy. Damian uczynił",Stojąca na przeciwległym chodniku kobieta weszła na pasy.,"[('Stojąca', 'kobieta', 'acl'), ('na', 'chodniku', 'case'), ('przeciwległym', 'chodniku', 'amod'), ('chodniku', 'Stojąca', 'obl'), ('kobieta', 'weszła', 'nsubj'), ('weszła', 'weszła', 'ROOT'), ('na', 'pasy', 'case'), ('pasy', 'weszła', 'obl:arg'), ('.', 'weszła', 'punct')]",8,"('kobieta', 'weszła')","('[kobieta:subst:sg:nom:f]', '[wejść:praet:sg:f:perf]')","{'Stojąca': 1, 'na': 0, 'przeciwległym': 0, 'chodniku': 2, 'kobieta': 1, 'weszła': 3, 'pasy': 1, '.': 0}","({kobieta: 1, weszła: 3})",0.1011439432472917,1,-7.281278253741369,7.0,A woman standing on the opposite sidewalk stepped into the crossing.,"[('A', 'woman', 'det'), ('woman', 'stepped', 'nsubj'), ('standing', 'woman', 'acl'), ('on', 'standing', 'prep'), ('the', 'sidewalk', 'det'), ('opposite', 'sidewalk', 'amod'), ('sidewalk', 'on', 'pobj'), ('stepped', 'stepped', 'ROOT'), ('into', 'stepped', 'prep'), ('the', 'crossing', 'det'), ('crossing', 'into', 'pobj'), ('.', 'stepped', 'punct')]",11,"{'A': 0, 'woman': 2, 'standing': 1, 'on': 1, 'the': 0, 'opposite': 0, 'sidewalk': 2, 'stepped': 3, 'into': 1, 'crossing': 1, '.': 0}","{'stepped': 3, 'woman': 2}",{'woman': 2},0.3816360553462715,0,1.4009626447901795,3
81,"Zrozumiałem, że bolejąca",kobieta[kobieta:subst:sg:nom:f]weszła[wejść:praet:sg:f:perf],w jedną z pułapek spirytyzmu,"Zrozumiałem, że bolejąca kobieta weszła w jedną z pułapek spirytyzmu","Zrozumiałem, że bolejąca kobieta weszła w jedną z pułapek spirytyzmu.","[('Zrozumiałem', 'Zrozumiałem', 'ROOT'), (',', 'weszła', 'punct'), ('że', 'weszła', 'mark'), ('bolejąca', 'kobieta', 'amod'), ('kobieta', 'weszła', 'nsubj'), ('weszła', 'Zrozumiałem', 'ccomp:obj'), ('w', 'jedną', 'case'), ('jedną', 'weszła', 'obl:arg'), ('z', 'pułapek', 'case'), ('pułapek', 'jedną', 'obl'), ('spirytyzmu', 'pułapek', 'nmod'), ('.', 'Zrozumiałem', 'punct')]",10,"('kobieta', 'weszła')","('[kobieta:subst:sg:nom:f]', '[wejść:praet:sg:f:perf]')","{'Zrozumiałem': 2, ',': 0, 'że': 0, 'bolejąca': 0, 'kobieta': 1, 'weszła': 4, 'w': 0, 'jedną': 2, 'z': 0, 'pułapek': 2, 'spirytyzmu': 0, '.': 0}","({kobieta: 1, weszła: 4})",1.4251877651717713,0,-33.522199512474444,3.0,I realized that the grieving woman had entered one of the traps of spiritualism.,"[('I', 'realized', 'nsubj'), ('realized', 'realized', 'ROOT'), ('that', 'entered', 'mark'), ('the', 'woman', 'det'), ('grieving', 'woman', 'amod'), ('woman', 'entered', 'nsubj'), ('had', 'entered', 'aux'), ('entered', 'realized', 'ccomp'), ('one', 'entered', 'dobj'), ('of', 'one', 'prep'), ('the', 'traps', 'det'), ('traps', 'of', 'pobj'), ('of', 'traps', 'prep'), ('spiritualism', 'of', 'pobj'), ('.', 'realized', 'punct')]",14,"{'I': 0, 'realized': 3, 'that': 0, 'the': 0, 'grieving': 0, 'woman': 2, 'had': 0, 'entered': 4, 'one': 1, 'of': 1, 'traps': 2, 'spiritualism': 0, '.': 0}","{'entered': 4, 'had': 0, 'realized': 3, 'woman': 2}",{'woman': 2},1.1983237484371252,1,0.12928136776498,3
82,"wąską uliczką, za nimi",przeszedł[przejść:praet:sg:m1:perf]mężczyzna[mężczyzna:subst:sg:nom:m1],z plastykową protezą zamiast nogi,"wąską uliczką, za nimi przeszedł mężczyzna z plastykową protezą zamiast nogi","Szli wąską uliczką, za nimi przeszedł mężczyzna z plastykową protezą zamiast nogi.","[('Szli', 'Szli', 'ROOT'), ('wąską', 'uliczką', 'amod'), ('uliczką', 'Szli', 'iobj'), (',', 'przeszedł', 'punct'), ('za', 'nimi', 'case'), ('nimi', 'przeszedł', 'obl'), ('przeszedł', 'Szli', 'conj'), ('mężczyzna', 'przeszedł', 'nsubj'), ('z', 'protezą', 'case'), ('plastykową', 'protezą', 'amod'), ('protezą', 'mężczyzna', 'nmod'), ('zamiast', 'nogi', 'case'), ('nogi', 'przeszedł', 'obl'), ('.', 'Szli', 'punct')]",12,"('przeszedł', 'mężczyzna')","('[przejść:praet:sg:m1:perf]', '[mężczyzna:subst:sg:nom:m1]')","{'Szli': 3, 'wąską': 0, 'uliczką': 1, ',': 0, 'za': 0, 'nimi': 1, 'przeszedł': 4, 'mężczyzna': 1, 'z': 0, 'plastykową': 0, 'protezą': 2, 'zamiast': 0, 'nogi': 1, '.': 0}","({przeszedł: 4, mężczyzna: 1})",0.859060391163966,4,-302.8042211836007,9.0,They walked down a narrow street and a man with a plastic prosthetic leg passed behind them.,"[('They', 'walked', 'nsubj'), ('walked', 'walked', 'ROOT'), ('down', 'walked', 'prep'), ('a', 'street', 'det'), ('narrow', 'street', 'amod'), ('street', 'down', 'pobj'), ('and', 'street', 'cc'), ('a', 'man', 'det'), ('man', 'street', 'conj'), ('with', 'man', 'prep'), ('a', 'leg', 'det'), ('plastic', 'leg', 'amod'), ('prosthetic', 'leg', 'amod'), ('leg', 'with', 'pobj'), ('passed', 'leg', 'acl'), ('behind', 'passed', 'prep'), ('them', 'behind', 'pobj'), ('.', 'walked', 'punct')]",17,"{'They': 0, 'walked': 3, 'down': 1, 'a': 0, 'narrow': 0, 'street': 4, 'and': 0, 'man': 2, 'with': 1, 'plastic': 0, 'prosthetic': 0, 'leg': 4, 'passed': 1, 'behind': 1, 'them': 0, '.': 0}","{'man': 2, 'passed': 1, 'walked': 3}",{'man': 2},0.0124727001279005,2,-0.5867704418696507,8
83,"metrów, gdy przed Michałem",przeszedł[przejść:praet:sg:m1:perf]mężczyzna[mężczyzna:subst:sg:nom:m1],", syknięciem zwracając na siebie","metrów, gdy przed Michałem przeszedł mężczyzna , syknięciem zwracając na siebie","Przeszli parę metrów, gdy przed Michałem przeszedł mężczyzna, syknięciem zwracając na siebie uwagę. ","[('Przeszli', 'Przeszli', 'ROOT'), ('parę', 'metrów', 'det:numgov'), ('metrów', 'Przeszli', 'obl'), (',', 'przeszedł', 'punct'), ('gdy', 'przeszedł', 'advmod'), ('przed', 'Michałem', 'case'), ('Michałem', 'przeszedł', 'obl'), ('przeszedł', 'Przeszli', 'advcl'), ('mężczyzna', 'przeszedł', 'nsubj'), (',', 'syknięciem', 'punct'), ('syknięciem', 'mężczyzna', 'conj'), ('zwracając', 'przeszedł', 'advcl'), ('na', 'siebie', 'case'), ('siebie', 'zwracając', 'obl:arg'), ('uwagę', 'zwracając', 'obj'), ('.', 'Przeszli', 'punct')]",13,"('przeszedł', 'mężczyzna')","('[przejść:praet:sg:m1:perf]', '[mężczyzna:subst:sg:nom:m1]')","{'Przeszli': 3, 'parę': 0, 'metrów': 1, ',': 0, 'gdy': 0, 'przed': 0, 'Michałem': 1, 'przeszedł': 5, 'mężczyzna': 1, 'syknięciem': 1, 'zwracając': 2, 'na': 0, 'siebie': 1, 'uwagę': 0, '.': 0}","({przeszedł: 5, mężczyzna: 1})",0.9345022133617432,4,-175.7541028483493,6.0,"They had walked a few meters when a man walked in front of Micha, hissing to attract their attention. ","[('They', 'walked', 'nsubj'), ('had', 'walked', 'aux'), ('walked', 'walked', 'ROOT'), ('a', 'meters', 'det'), ('few', 'meters', 'amod'), ('meters', 'walked', 'npadvmod'), ('when', 'walked', 'advmod'), ('a', 'man', 'det'), ('man', 'walked', 'nsubj'), ('walked', 'meters', 'relcl'), ('in', 'walked', 'prep'), ('front', 'in', 'pobj'), ('of', 'front', 'prep'), ('Michał', 'of', 'pobj'), (',', 'walked', 'punct'), ('hissing', 'walked', 'advcl'), ('to', 'attract', 'aux'), ('attract', 'hissing', 'xcomp'), ('their', 'attention', 'poss'), ('attention', 'attract', 'dobj'), ('.', 'walked', 'punct')]",19,"{'They': 0, 'had': 0, 'walked': 3, 'a': 0, 'few': 0, 'meters': 3, 'when': 0, 'man': 1, 'in': 1, 'front': 1, 'of': 1, 'Michał': 0, ',': 0, 'hissing': 1, 'to': 0, 'attract': 2, 'their': 0, 'attention': 1, '.': 0}","{'had': 0, 'man': 1, 'walked': 3}",{'man': 1},1.0429253487859111,3,0.6905505505289246,8
84,trafić stosunkowo łatwo. Kiedy,mężczyzna[mężczyzna:subst:sg:nom:m1]wyszedł[wyjść:praet:sg:m1:perf],", dokładnie poinstruowany jak tam","trafić stosunkowo łatwo. Kiedy mężczyzna wyszedł , dokładnie poinstruowany jak tam","Kiedy mężczyzna wyszedł, dokładnie poinstruowany jak tam dotrzeć, odetchnęła z ulgą.  ","[('Kiedy', 'wyszedł', 'advmod'), ('mężczyzna', 'wyszedł', 'nsubj'), ('wyszedł', 'odetchnęła', 'advcl'), (',', 'poinstruowany', 'punct'), ('dokładnie', 'poinstruowany', 'advmod'), ('poinstruowany', 'wyszedł', 'conj'), ('jak', 'dotrzeć', 'mark'), ('tam', 'dotrzeć', 'advmod'), ('dotrzeć', 'poinstruowany', 'advcl:cmpr'), (',', 'wyszedł', 'punct'), ('odetchnęła', 'odetchnęła', 'ROOT'), ('z', 'ulgą', 'case'), ('ulgą', 'odetchnęła', 'obl'), ('.', 'odetchnęła', 'punct'), (' ', '.', 'dep')]",11,"('mężczyzna', 'wyszedł')","('[mężczyzna:subst:sg:nom:m1]', '[wyjść:praet:sg:m1:perf]')","{'Kiedy': 0, 'mężczyzna': 0, 'wyszedł': 4, ',': 0, 'dokładnie': 0, 'poinstruowany': 3, 'jak': 0, 'tam': 0, 'dotrzeć': 2, 'odetchnęła': 3, 'z': 0, 'ulgą': 1, '.': 1, ' ': 0}","({mężczyzna: 0, wyszedł: 4})",1.024993320451495,4,-36.499667847406194,11.0,"When the man came out, having been given precise instructions on how to get there, she breathed a sigh of relief.  ","[('When', 'came', 'advmod'), ('the', 'man', 'det'), ('man', 'came', 'nsubj'), ('came', 'given', 'advcl'), ('out', 'came', 'prt'), (',', 'came', 'punct'), ('having', 'given', 'aux'), ('been', 'given', 'auxpass'), ('given', 'breathed', 'ccomp'), ('precise', 'instructions', 'amod'), ('instructions', 'given', 'dobj'), ('on', 'instructions', 'prep'), ('how', 'get', 'advmod'), ('to', 'get', 'aux'), ('get', 'on', 'pcomp'), ('there', 'get', 'advmod'), (',', 'breathed', 'punct'), ('she', 'breathed', 'nsubj'), ('breathed', 'breathed', 'ROOT'), ('a', 'sigh', 'det'), ('sigh', 'breathed', 'dobj'), ('of', 'sigh', 'prep'), ('relief', 'of', 'pobj'), ('.', 'breathed', 'punct'), (' ', '.', 'dep')]",21,"{'When': 0, 'the': 0, 'man': 1, 'came': 4, 'out': 0, ',': 0, 'having': 0, 'been': 0, 'given': 4, 'precise': 0, 'instructions': 2, 'on': 1, 'how': 0, 'to': 0, 'get': 3, 'there': 0, 'she': 0, 'breathed': 5, 'a': 0, 'sigh': 2, 'of': 1, 'relief': 0, '.': 1, ' ': 0}","{'breathed': 5, 'came': 4, 'man': 1}",{'man': 1},1.5717811816769225,4,0.0343949008918654,1
